txt;tag;fake
"4 октября 2001 года в нейтральных водах акватории Черного моря потерпел катастрофу самолет Ту-154М авиакомпании ""Сибирь"", выполнявший чартерный рейс по маршруту Тель-Авив (Израиль) –Новосибирск (Россия). В результате катастрофы самолет был полностью разрушен и затонул.";самолёт;0
45 минут назад возле международного аэропорта Шереметьево, через две минуты после взлета, потерпел крушение самолет ИЛ-96-300 с премьер-министром России Дмирием Медведевым и еще двенадцатью российскими министрами на борту. Предполагалось, что в самолете будет лететь и российский президент Владимир Путин, но об этом уже в другой статье. В трагическом крушении также приняли участие: глава МИД России Сергей Лавров, министр обороны РФ Сергей Шойгу, глава «чеченских» Рамзан Кадыров и глава «донецких» Саша Захарченко.;самолёт;1
Польша находится на грани отправки военных самолетов в Украину, утверждал ряд основных СМИ вместе с госсекретарем США, несмотря на то, что польские власти явно и неоднократно исключали этот шаг. Такая демонстрация военной помощи Украине, несомненно, приведет к тому, что Россия объявит войну другим странам, что вызовет вопрос о том, почему кто-то захочет продвигать ложный нарратив о польской военной помощи.;самолёт;1
В России стали массово «минировать» самолеты. Нескольким лайнерам пришлось садиться из-за ложных угроз;самолёт;1
Международный аэропорт Мале Велана (MLE), главный международный аэропорт Мальдив, был временно закрыт 28 марта 2023 года после того, как самолет Flydubai получил множественные разрывы шин при посадке.;самолёт;0
Гонконгский лоукостер HK Express объявил о прибытии своего первого самолета Airbus A321neo 29 марта 2023 года. Это знаменует собой поставку первого из 16 самолетов A321neo для HK Express, входящего в Cathay Pacific Group. Поставка остальных самолетов будет развернута в течение следующих двух лет. Недавно поставленный самолет имеет новейшую ливрею авиакомпании с яркими оттенками фиолетового и белого. Винглеты и оперение самолета имеют символ путешествия в форме буквы «е», который, по словам Airbus, напоминает о начале приятного путешествия с HK Express.;самолёт;0
Два российских правительственных корабля вызвали тревогу среди сил обороны Ирландии после подозрительных действий в водах у западного побережья Ирландии. По данным Irish Times, корабли и самолеты были развернуты на этой неделе после того, как возникли подозрения, что российские корабли могут мешать новым подводным кабелям, связывающим Ирландию и Исландию. Два российских корабля, «Умка» и «Бахтемир», как сообщается, недавно были подвергнуты санкциям со стороны правительства Соединенных Штатов из-за их участия в строительстве трубопровода «Северный поток-2».;самолёт;0
Мужчина предстал перед датским судом после того, как сел в самолет без паспорта и с с игрушечным ножом в костюме клоуна. Основное нарушение безопасности было обнаружено 27 марта 2023 года, когда 48-летний мужчина был снят с рейса в Бирмингем в аэропорту Дублина (DUB) в терминале 2 сразу после 7 вечера. По данным некоторого источника Абдула Ахмеджан был обвинен в незаконном проникновении с намерением совершить преступление и в непредставлении действительного паспорта или аналогичного документа в качестве негражданина в штате.;самолёт;1
Летно-испытательный самолет Airbus A321XLR вернулся после четырехдневных наземных испытаний в холодную погоду в Икалуите на севере Канады. Целью поездки было «подтверждение работы самолета в холодную погоду для наземных операций». Несколькими неделями ранее один из других испытательных самолетов A321XLR совершил аналогичный визит в Икалуит, где осуществлялась работа гидравлики и других систем при экстремально низких температурах – после ночного «замачивания» при минус 40С.;самолёт;0
"В России был создан уникальный самолет, способный летать в условиях экстремального холода, благодаря технологии ""нагрева"" воздуха вокруг него.";самолёт;1
"Из секретной лаборатории в центре России по халатности ""списали"" собак заражённых опасным для людей штаммом вируса. Должны были усыпить и сжечь, но... вы сами понимаете. Россия. Средства ""освоили"", а собачек отпустили за 101-километр. Скорее всего всё из-за повышенной секретности исполнители думали, что это простой ""биомусор"" и ничего не знали про штамм. Грузовик с этими идиотами нашли на пол-пути к крупному городу, в лесопосадке. Что с телами - не знаю, но собак не было. Что-то около 30-40 особей.";животные;1
Москвичей поразил гость из леса, который неожиданно появился на северо-востоке столицы. Там прямо к многоэтажкам вышел дикий лось.  Случайным прохожим, которые стали свидетелями этого неожиданного появления, оставалось только гадать, что именно привело животное сюда.;животные;0
Научный коллектив из Норвегии сообщил о создании первого в мира генетически модифицированного кенгуру, который способен летать.;животные;1
Группа американских ученых установила, что белки могут общаться на языке человека и даже петь песни.;животные;1
Исчезновение насекомых грозит глобальной катастрофой экосистем. Научное исследование показывает, что уменьшение численности популяций насекомых во всем мире может привести к колоссальным последствиям для экосистем земного шара.;животные;0
"В Австралии был обнаружен новый вид голубей - чёрный голубь, с необычной черной окраской, в отличие от традиционного сине-серого цвета. Этот вид был назван ""вороньим голубем"" из-за своей тёмной окраски.";животные;0
В Китае был обнаружен новый вид птицы, которая способна превращаться в человека.;животные;1
В Намибии было объявлено об открытии нового национального парка, площадью более 15 тысяч квадратных километров. Он стал домом для многих видов животных, в том числе для крупнейшей популяции африканского слона на планете.;животные;0
В Бразилии была обнаружена новая экзотическая рыба с человеческими зубами, которая быстро стала популярной среди местных рыбаков. Однако, ученые уже высказали свои опасения о том, что эта рыба может быть опасна для человека из-за ее необычных зубов и острого характера.;животные;1
В Мексике была обнаружена до сих пор неизвестная науке популяция муравьедов-гигантов. Эти животные являются одними из самых больших муравьедов в мире и встречаются только в определенных районах Центральной и Южной Америки.;животные;0
Культовая группа The Beatles объявила о своем воссоединении и планирует выступить на концерте в Нью-Йорке.;музыка;1
"Коллектив BTS стал первой корейской группой, которая возглавила американский хит-парад Billboard Hot 100 с песней ""Dynamite"".";музыка;0
Легендарный музыкант Дэвид Боуи выпустит свой новый альбом вместе с анимационным фильмом от студии Disney.;музыка;1
"В 2021 году группа AC/DC выпустила свой новый альбом ""Power Up"", который стал первым релизом группы после смерти гитариста Малкольма Янга в 2017 году.";музыка;0
Топовый рэпер Eminem объявил о своем уходе из музыкальной индустрии и планирует начать карьеру актера.;музыка;1
"В феврале 2021 года The Weeknd выступил на полуфинале Суперкубка NFL, привлекая внимание своим выходом в красной куртке, которая стала визитной карточкой его альбома ""After Hours"".";музыка;0
Рок-группа AC/DC сделала заявление о том, что их следующий альбом будет записан на Марсе.;музыка;1
